133B25.133B27,1B
133B29.133B2B.133B2D,44
133B2F,01
133B31.133B33.133B35,0D
133B37.133B39,0A
133B3B,0F
133B3D,29
133B3F.133B41.133B43,60
133B45.133B47,35
133B55.133B57.133B59,19
133B5B.133B5D,5C
133B5F,43
133B61.133B63,41
133B65.133B67.133B69,45
133B6B,47
133B6D,5F
133B6F.133B71.133B73,1F
133B75.133B77,4C
133B79.133B7B,2B
133B7D.133B7F.133B81,42
133B83,1C
133B85,37
133B87.133B89.133B8B,3A
133B8D.133B8F,18
133B91.133B93.133B95,15
133B97,14
133B99.133B9B,36
133B9D.133B9F,4F
133BA1.133BA3,54
133BA5.133BA7,39
133BA9.133BAB,3E
133BAD.133BAF.133BB1,6D
133BB3,17
133BC1.133BC3,61
133BC5.133BC7,3D
133BC9.133BCB,2A
133BCD.133BCF.133BD1.133BD3,46
133BD5,23
133BD7,65
133BD9,71
133BDB.133BDD.133BDF,52
133BE1.133BE3,02
133BE5,5D
133BE7.133BE9,4E
133BEB.133BED.133BEF,59
133BF1.133BF3,6B
133BF5,53
133BF7.133BF9.133BFB,33
133BFD.133BFF,16
133C01.133C03.133C05,17
133C07,28
133C09.133C0B.133C0D,74
133C0F,03
133C11.133C13,31
133C15.133C17.133C19,70
133C1B,40
133C1D.133C1F,6E
133C21.133C23,5D
133C25.133C27,65
133C29.133C2B,5F
133C2D.133C2F.133C31,49
133C33,4B
133C35.133C37,4D
133C39,20
133C3B.133C3D.133C3F,6C
133C41.133C43,18
133C51.133C53.133C55,63
133C57,0C
133C59.133C5B,22
133C5D.133C5F,5E
133C61.133C63.133C65,1F
133C67,28
