134655,05
134657,0B
134659,12
13465B,1B
13465D,0D
13465F,3F
134661,44
134663,2B
134665,0A
134667,2F
134669,0F
13466B,0A
13466D,0B
13466F,1B
134671,46
134673,2F
134675,3F
134677,01
134679,41
13467B,18
13467D,1B
13467F,2B
134681,01
134683,36
134685,41
134687,26
134689,57
13468B,3B
13468D,21
13468F,19
134691,14
134693,42
134695,2A
134697,45
134699,55
13469B,3B
13469D,57
13469F,30
1346A1,2D
1346A3,1B
1346A5,16
1346A7,30
1346A9,64
1346AB,17
1346AD,1B
1346AF,4A
1346B1,52
1346B3,29
1346B5,42
1346B7,2A
1346B9,1B
1346BB,4A
1346BD,64
1346BF,16
1346C1,43
1346C3,6D
1346C5,4C
1346C7,1F
1346C9,52
1346CB,10
1346CD,1B
1346CF,4F
1346D1,4E
1346D3,52
1346D5,6B
1346D7,53
1346D9,60
1346DB,47
1346DD,4A
1346DF,2E
1346E1,6B
1346E3,61
1346E5,54
1346E7,66
1346E9,4E
1346EB,58
1346ED,1F
1346EF,4C
1346F1,02
1346F3,1B
1346F5,6B
1346F7,59
1346F9,32
1346FB,1C
1346FD,27
1346FF,49
134701,02
134703,52
134705,1B
134707,16
134709,6B
13470B,59
13470D,32
13470F,1C
134711,27
134713,49
134715,02
134717,52
134719,1B
13471B,16
13471D,6B
13471F,59
134721,32
134723,1C
134725,27
134727,49
134729,02
13472B,52
13472D,1B
13472F,16
134731,22
134733,66
134735,31
134737,4B
134739,1B
13473B,1C
13473D,5D
13473F,27
134741,49
134743,65
